"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAZ334_004";"THR connection";"";
"REFERENCE";"1332073";"";
"ATT_0173_1_02_BAF016_008";"16";"";
"TraceParts.PartVersion";"1.0.22";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_AAZ358_004";"0";"";
"ATT_0173_1_02_BAA020_012";"7.31";"";
"ATT_0173_1_02_AAT080_004";"19";"";
"TraceParts.PartNumber";"90-10022023-006758";"";
"TraceParts.InstanceId";"90-10022023-006758780E4K2ETRAHH3939WK1PGSQQ";"";
"ATT_0173_1_02_AAO663_005";"4063151628864";"";
"DESIGN";"HDMI PCB connectors";"";
"ATT_0173_1_02_AAF726_005";"0.5";"";
"ATT_0173_1_02_BAB577_010";"10.5";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"CUC-HDMI-J1ST-S/HAF-SMD";"";
"ATT_0173_1_02_AAP798_003";"not available";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC487_017";"not relevant";"";
"ATT_0173_1_02_AAZ359_005";"Standard";"";
"ATT_0173_1_02_BAB392_019";"not available";"";
"ATT_0173_1_02_BAC818_013";"soldering";"";
