"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW6";"SPDT_OS102011_CNK";2;"SW_DPST_x2";;;
2;"U1";"Pololu5V3.4A";1;"V_Regulator3.3v";;;
3;"J5";"AMASS_XT60PW-F_1x02_P7.20mm_Horizontal";1;"Screw_Terminal_01x02";;;
4;"H3,H7,H8,H5";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole";;;
5;"C9,C2,C4,C5,C7";"C_0805_2012Metric";5;".1uf";;;
6;"J2";"JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical";1;"RaspberryPi";;;
7;"SW4,SW3,SW2,SW5";"SPDT_OS102011_CNK";4;"SW_SPDT";;;
8;"MOD1";"RCJ-COM-2024";1;"RCJ-COM-2024";;;
9;"M2,M4,M3,M1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";4;"Motor_DC";;;
10;"J10,J9,J7,J8";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";4;"Conn_01x02";;;
11;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
12;"U6,U10";"TO-220-3_Vertical";2;"N channel";;;
13;"U4";"BNO055";1;"BNO055";;;
14;"C10,C1,C3,C6,C8";"C_0805_2012Metric";5;"10uf";;;
15;"U3";"Boost_Convertor_LM2577";1;"BoostConverter";;;
16;"J12,J6,J11";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";3;"Conn_01x03";;;
17;"J4";"PinHeader_2x01_P2.54mm_Vertical";1;"Conn_01x02";;;
18;"U2";"Pololu5V3.4A";1;"V_Regulator5v";;;
19;"U12";"Teensy41";1;"Teensy4.1";;;
20;"IC3,IC2,IC4,IC1";"SOIC127P600X175-16N";4;"VNH7070ASTR";;;
21;"C13,C14,C12,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1uf";;;
22;"R10,R8,R15,R16,R17,R12,R7,R1,R13,R9,R11,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";12;"100";;;
23;"J3";"IDC-Header_2x06_P2.54mm_Vertical";1;"Conn_01x12";;;
24;"R2,R5,R6,R3,R18,R4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"10k";;;
