Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C6, C8",0805,4,10uf,
"C11, C12, C13, C14, C15",0805,5,0.1uf,
"C2, C5, C7, C9",0805,4,.1uf,
"C401, C501, C502, C602",0402,4,100n,
C601,0805,1,4u7,
"C701, C703",0805,2,10u,
C702,CP_EIA-7343-31_Kemet-D,1,100uF,
"D101, D701",SOT-416,2,RCLAMP0502BA,
"D401, D402, D403",DFN2510A-10_SOT1176-1_NEX,3,PUSB3F96X,C478121
"D605, D606",0805,2,GREEN,
"H3, H5, H7, H8",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,
"IC1, IC2, IC3, IC4, IC5",SOIC127P600X175-16N,5,VNH7070ASTR,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"J10, J8",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
J101,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,TYPEC-305-ACP16H458,
"J11, J2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03,
J14,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,JST_SHBM04B-SRSS-TB,
J20,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03_Pin,
J4,PinHeader_2x01_P2.54mm_Vertical,1,Conn_01x02,
J5,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Screw_Terminal_01x02,
J501,PHOENIX_1332073,1,GT-HD001B-CNNG1,
"J6, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,
J802,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,1,Conn_01x22_Female,
J9,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Conn_01x06_Pin,
"M1, M2, M3, M4, M5",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,5,Motor_DC,
MODULE1,Raspberry-Pi-5-Compute-Module,1,ComputeModule5-CM5,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R3, R4, R5, R7, R8, R9",0805,15,1k,
R104,0402,1,10k,
R18,0805,1,1.8k,
"R19, R2",0805,2,10k,
R20,0402,1,10K 1%,
"R401, R402",0402,2,470R,
R6,0805,1,3.3k,
"R605, R606",0402,2,2k2,
R701,0402,1,15k,
"R702, R703",0402,2,22k,
S1,SW_TS04-66-70-BK-100-SMT,1,TS04-66-70-BK-100-SMT,
SW1,SPDT_OS102011_CNK,1,SW_DPST_x2,
SW2,Latch-Switch,1,SW_DPST_x2,
U1,TRJG0926HENL,1,MagJack-A70-112-331N126,
U10,TO-220-3_Vertical,1,N channel,
U12,Teensy41,1,Teensy4.1,
U21,Pololu5V3.4A,1,V_Regulator3.3v,
U22,Pololu5V3.4A,1,V_Regulator5v,
U4,BNO055,1,BNO055,
"U401, U402",USON-10_2.5x1.0mm_P0.5mm,2,TPD4EUSB30,
U405,SOT-23-5,1,STMPS2151STR,C135998
U602,SOT-23-5,1,SN74LVC1G14DBVR,
U701,SOT-23-6,1,AP22653W6,
USB701,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,TYPEC-305-ACP16H458,C5454943
